里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,各里總案件數,女,男,小於18歲,18到65歲,大於65歲,兄弟姊妹間暴力Rank,老人保護Rank,兒少保護Rank,其他家虐Rank,親密關係Rank,低收Rank,障礙Rank
臺北市大安區永康里,,,1,,3,4,50.00%,50.00%,0%,50%,50%,,,0%,,5%,0%,0%
臺北市士林區溪山里,,,,2,2,4,75.00%,25.00%,25%,75%,0%,,,,7%,2%,0%,1%
臺北市大安區錦安里,,,,,3,3,66.67%,33.33%,0%,100%,0%,,,,,5%,0%,0%
臺北市松山區東昌里,,1,,,1,2,100.00%,0.00%,0%,100%,0%,,0%,,,0%,0%,0%
臺北市北投區湖田里,,,,2,,2,100.00%,0.00%,0%,100%,0%,,,,7%,,0%,0%
臺北市北投區大屯里,,,2,,,2,0.00%,100.00%,0%,100%,0%,,,43%,,,34%,0%
臺北市中正區南門里,,,,1,1,2,0.00%,100.00%,100%,0%,0%,,,,0%,0%,0%,0%
臺北市大安區敦安里,,,,1,1,2,50.00%,50.00%,0%,50%,50%,,,,0%,0%,0%,0%
臺北市大安區臥龍里,,,,2,,2,50.00%,50.00%,0%,50%,50%,,,,7%,,0%,0%
臺北市士林區新安里,,,,,2,2,100.00%,0.00%,0%,100%,0%,,,,,2%,0%,0%
臺北市士林區菁山里,,,,1,1,2,50.00%,0.00%,0%,100%,0%,,,,0%,0%,0%,0%
臺北市士林區平等里,,,,,2,2,0.00%,100.00%,0%,100%,0%,,,,,2%,0%,0%
臺北市信義區新仁里,,,,,1,1,100.00%,0.00%,0%,100%,0%,,,,,0%,0%,0%
臺北市中山區大佳里,1,,,,,1,100.00%,0.00%,0%,100%,0%,0.00%,,,,,0%,0%
臺北市大安區光明里,,,,,1,1,100.00%,0.00%,0%,100%,0%,,,,,0%,0%,0%
全部,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,各里總案件數,女,男,小於18歲,18到65歲,大於65歲,,,,,,低收,障礙
